Wavelength;Abs_001;Std.Dev_001;Abs_002;Std.Dev_002;Abs_004;Std.Dev_004;Abs_006;Std.Dev_006;Abs_008;Std.Dev_008;Abs_01;Std.Dev_01;Abs_03;Std.Dev_03;Abs_05;Std.Dev_05;Abs_08;Std.Dev_08;Abs_1;Std.Dev_1;Abs_2;Std.Dev_2;Abs_4;Std.Dev_4;Abs_6;Std.Dev_6;Abs_8;Std.Dev_8;Abs_acida;Std.Dev_acida;Abs_basica;Std.Dev_basica
716;3,93E-03;4,15E-05;3,97E-03;6,66E-05;6,31E-03;4,69E-05;1,59E-02;7,19E-05;5,98E-03;5,23E-05;7,04E-03;4,72E-05;6,32E-03;8,07E-05;6,76E-03;5,77E-05;6,20E-03;5,05E-05;6,73E-03;5,57E-05;8,92E-03;5,06E-05;1,38E-02;5,08E-05;1,55E-02;5,06E-05;1,50E-02;9,30E-05;1,38E-02;8,56E-05;1,07E-02;5,63E-05
717;3,75E-03;4,63E-05;3,78E-03;3,79E-05;5,99E-03;5,57E-05;1,55E-02;4,93E-05;5,78E-03;4,46E-05;6,69E-03;4,82E-05;6,07E-03;5,40E-05;6,46E-03;5,12E-05;6,04E-03;4,93E-05;6,51E-03;5,33E-05;8,56E-03;4,40E-05;1,33E-02;3,24E-05;1,54E-02;4,37E-05;1,48E-02;8,28E-05;1,37E-02;9,43E-05;1,01E-02;6,71E-05
718;3,53E-03;4,39E-05;3,62E-03;4,03E-05;5,85E-03;7,38E-05;1,50E-02;4,88E-05;5,55E-03;4,81E-05;6,59E-03;3,62E-05;5,90E-03;4,42E-05;6,23E-03;5,39E-05;5,82E-03;3,44E-05;6,44E-03;5,47E-05;8,41E-03;4,54E-05;1,29E-02;4,06E-05;1,51E-02;3,90E-05;1,46E-02;6,38E-05;1,34E-02;8,14E-05;9,94E-03;5,21E-05
719;3,60E-03;5,49E-05;3,56E-03;6,43E-05;5,87E-03;7,60E-05;1,55E-02;6,65E-05;5,52E-03;6,25E-05;6,59E-03;5,44E-05;5,87E-03;4,93E-05;6,31E-03;5,57E-05;5,86E-03;4,97E-05;6,37E-03;7,82E-05;8,40E-03;5,85E-05;1,31E-02;6,24E-05;1,50E-02;5,43E-05;1,45E-02;9,57E-05;1,37E-02;8,95E-05;9,67E-03;4,75E-05
720;3,48E-03;6,46E-05;3,43E-03;6,61E-05;5,88E-03;7,25E-05;1,54E-02;7,05E-05;5,43E-03;8,15E-05;6,59E-03;5,58E-05;5,69E-03;5,59E-05;6,22E-03;6,50E-05;5,66E-03;5,92E-05;6,26E-03;6,19E-05;8,26E-03;5,31E-05;1,30E-02;6,48E-05;1,48E-02;5,01E-05;1,44E-02;1,03E-04;1,39E-02;8,63E-05;9,47E-03;5,85E-05
721;3,32E-03;6,16E-05;3,29E-03;7,15E-05;5,67E-03;7,17E-05;1,52E-02;5,21E-05;5,20E-03;7,38E-05;6,33E-03;5,19E-05;5,59E-03;5,09E-05;6,00E-03;5,04E-05;5,56E-03;4,15E-05;6,08E-03;4,99E-05;8,04E-03;4,40E-05;1,27E-02;5,89E-05;1,46E-02;4,09E-05;1,41E-02;7,06E-05;1,38E-02;7,80E-05;9,12E-03;5,49E-05
722;3,27E-03;7,04E-05;3,23E-03;6,02E-05;5,61E-03;8,22E-05;1,52E-02;7,23E-05;5,10E-03;6,80E-05;6,33E-03;7,04E-05;5,49E-03;7,27E-05;5,85E-03;4,86E-05;5,46E-03;4,58E-05;6,02E-03;6,31E-05;7,96E-03;5,23E-05;1,26E-02;6,08E-05;1,45E-02;4,85E-05;1,40E-02;7,81E-05;1,38E-02;8,46E-05;8,90E-03;5,87E-05
723;3,22E-03;5,89E-05;3,19E-03;6,58E-05;5,54E-03;7,72E-05;1,52E-02;6,56E-05;5,09E-03;7,03E-05;6,34E-03;7,04E-05;5,39E-03;6,83E-05;5,93E-03;5,57E-05;5,42E-03;5,18E-05;6,02E-03;6,42E-05;8,02E-03;5,73E-05;1,25E-02;5,56E-05;1,44E-02;5,19E-05;1,38E-02;8,92E-05;1,38E-02;8,15E-05;8,70E-03;6,12E-05
724;3,08E-03;3,88E-05;3,05E-03;5,81E-05;5,47E-03;5,84E-05;1,52E-02;4,70E-05;4,83E-03;8,32E-05;6,29E-03;4,80E-05;5,27E-03;6,23E-05;5,77E-03;5,93E-05;5,27E-03;4,39E-05;5,99E-03;5,42E-05;7,80E-03;5,93E-05;1,24E-02;4,74E-05;1,41E-02;5,49E-05;1,36E-02;7,01E-05;1,38E-02;7,03E-05;8,54E-03;4,99E-05
725;3,04E-03;6,18E-05;3,06E-03;6,77E-05;5,36E-03;7,00E-05;1,50E-02;6,45E-05;4,75E-03;6,86E-05;6,15E-03;5,87E-05;5,17E-03;7,70E-05;5,61E-03;5,69E-05;5,22E-03;5,95E-05;5,80E-03;5,27E-05;7,77E-03;5,65E-05;1,24E-02;5,78E-05;1,41E-02;5,60E-05;1,36E-02;1,12E-04;1,39E-02;8,11E-05;8,34E-03;5,99E-05
